depth,threshold,feature,value
10,,,[ 0.  0.  0.  0.  0.  0. 49.  0.  0.  0.]
9,0.49083946645259857,0,
10,0.49074065685272217,0,
11,,,[0. 0. 7. 0. 2. 0. 0. 1. 0. 0.]
11,,,[ 0.  0.  0. 45.  0.  0.  0.  0.  0.  0.]
10,0.5903324782848358,1,
11,,,[10. 12. 12.  0. 19.  0.  0. 18.  0. 39.]
11,,,[ 0.  0.  8.  0.  4.  0.  0.  9. 25.  0.]
6,0.5125922560691833,0,
7,0.5120397508144379,0,
8,0.5086219608783722,0,
9,,,[ 0.  0.  0.  0.  0.  0. 51.  0.  0.  0.]
9,0.5087226927280426,0,
10,,,[ 0.  0.  0.  0.  0.  0.  0. 10.  0.  0.]
10,-0.8695572018623352,2,
11,,,[14.  0. 16.  0.  5.  0.  0.  2.  0.  0.]
11,,,[ 0.  0.  2.  0.  7.  0.  0.  0. 15.  0.]
8,-0.25488996505737305,3,
9,,,[  0.   0.   0.   0.   0.   0. 231.   0.   0.   0.]
9,,,[0. 0. 3. 0. 0. 0. 0. 0. 0. 0.]
7,-0.9820892214775085,2,
8,0.21791081130504608,1,
9,,,[  0.   0.   0.   0.   0.   0. 126.   0.   0.   0.]
9,0.2261296734213829,1,
10,0.2221168950200081,1,
11,,,[0. 0. 5. 0. 0. 0. 0. 0. 0. 0.]
11,,,[ 0.  0.  3.  0.  0.  0.  0.  0.  0. 19.]
10,0.522455096244812,0,
11,,,[ 0.  0.  0. 30.  0.  0.  0.  0.  0.  0.]
11,,,[ 13.   1.  25.   0.  20.   2. 148.   5.   9.   0.]
8,0.6349833309650421,0,
9,0.6240482926368713,0,
10,0.2585112005472183,1,
11,,,[ 14.  13.  44.  86.  24.   0. 246.  29.  13.   0.]
11,,,[171.  48. 368.   0. 178.  22.  54. 182. 115.  74.]
10,0.3290480375289917,1,
11,,,[ 0.  0. 10.  0. 15.  1.  0. 14.  8.  0.]
11,,,[  0.   0.  14. 149.   4.   0.   0.   0.   0.   0.]
9,-0.9750284254550934,2,
10,0.314266100525856,1,
11,,,[ 3.  0.  8.  0.  6.  9.  0.  2.  0. 20.]
11,,,[ 0.  2. 12.  0. 11.  4.  0.  5. 13.  0.]
10,0.3178219646215439,1,
11,,,[ 25.  15. 172.   0. 117.   9. 198. 140.  82.  86.]
11,,,[ 96.  43. 129.  22.  71.   4. 793.  89.  50.  44.]
3,0.7198346257209778,1,
4,0.33874888718128204,0,
5,0.18557781726121902,0,
6,,,[28.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
6,0.6486917734146118,1,
7,0.26475977897644043,0,
8,0.2601116746664047,0,
9,-0.6330894082784653,3,
10,,,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
10,,,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
9,,,[ 0.  0.  0.  0.  0.  0.  0.  0. 13.  0.]
8,,,[0. 0. 0. 0. 4. 0. 0. 0. 0. 0.]
7,0.23772791028022766,0,
8,,,[0. 0. 0. 0. 5. 0. 0. 0. 0. 0.]
8,-0.28166700154542923,2,
9,0.7076115310192108,1,
10,0.27289286255836487,0,
11,,,[18.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
11,,,[13.  2.  0.  0.  5.  0.  0.  0.  0.  0.]
10,,,[0. 0. 0. 0. 0. 2. 0. 0. 0. 0.]
9,,,[0. 0. 0. 0. 4. 0. 0. 0. 0. 0.]
5,-0.14153505116701126,2,
6,-0.18821973353624344,3,
7,0.634849339723587,1,
8,0.6194767355918884,1,
9,0.42740510404109955,0,
10,,,[ 0.  0.  0. 81.  0.  0.  0.  0.  0.  0.]
10,,,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
9,0.36240099370479584,0,
10,,,[17.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
10,-0.5582632124423981,3,
11,,,[ 0.  0. 13.  0.  8.  0.  0.  1.  0.  0.]
11,,,[0. 0. 0. 0. 2. 0. 0. 8. 0. 0.]
8,-0.9668119847774506,2,
9,0.7077244520187378,1,
10,0.4953490197658539,0,
11,,,[0. 8. 0. 0. 0. 0. 0. 0. 0. 0.]
11,,,[ 0.  0.  2.  0.  2.  0.  0. 14.  0.  0.]
10,,,[ 0.  0.  0. 38.  0.  0.  0.  0.  0.  0.]
9,-0.7025014460086823,2,
10,0.5466556251049042,0,
11,,,[  0.   1.   6. 231.  17.   8.   0.   0.   0.   0.]
11,,,[ 0.  0.  9.  0. 12.  2.  0.  4.  0.  0.]
10,0.515659749507904,0,
11,,,[  0.   0.   0. 379.   3.   0.   0.   2.   0.   0.]
11,,,[ 0.  5.  4.  0.  1.  0.  0. 11. 14.  0.]
7,0.7017737925052643,1,
8,,,[0. 0. 0. 0. 0. 8. 0. 0. 0. 0.]
8,0.6076727509498596,0,
9,,,[0. 0. 4. 0. 0. 0. 0. 0. 0. 0.]
9,,,[0. 0. 0. 0. 2. 0. 0. 0. 0. 0.]
6,0.5133476555347443,0,
7,0.5080626606941223,0,
8,,,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
8,,,[0. 0. 0. 0. 3. 0. 0. 0. 0. 0.]
7,0.6415939629077911,1,
8,0.6280496120452881,1,
9,,,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
9,,,[0. 0. 0. 0. 0. 0. 0. 8. 0. 0.]
8,,,[0. 0. 0. 0. 2. 0. 0. 0. 0. 0.]
4,-0.738080233335495,2,
5,0.741884171962738,1,
6,0.7241276800632477,1,
7,0.7214062511920929,1,
8,,,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
8,,,[0. 0. 0. 0. 0. 8. 0. 0. 0. 0.]
7,-0.898798257112503,2,
8,0.52338707447052,0,
9,0.7386555671691895,1,
10,,,[0. 8. 0. 0. 0. 0. 0. 0. 0. 0.]
10,0.7389613389968872,1,
11,,,[0. 0. 4. 0. 0. 0. 0. 0. 0. 0.]
11,,,[0. 0. 2. 0. 1. 0. 0. 0. 0. 0.]
9,,,[0. 0. 0. 0. 0. 0. 0. 3. 0. 0.]
8,,,[0. 0. 0. 0. 6. 0. 0. 0. 0. 0.]
6,-0.5229309797286987,3,
7,-0.787254124879837,2,
8,0.7507069110870361,1,
9,,,[8. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
9,-0.5666807591915131,3,
10,,,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
10,,,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
8,,,[11.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
7,-0.30355559289455414,3,
8,-0.8779275715351105,2,
9,,,[0. 0. 0. 0. 7. 0. 0. 0. 0. 0.]
9,,,[0. 0. 3. 0. 0. 0. 0. 0. 0. 0.]
8,0.29448016732931137,0,
9,,,[11.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
9,,,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
5,0.3771352767944336,0,
6,-0.5666763335466385,2,
7,,,[ 0.  0.  0. 28.  0.  0.  0.  0.  0.  0.]
7,,,[ 0.  0.  0.  0. 12.  0.  0.  0.  0.  0.]
6,0.6137019693851471,0,
7,0.4800471365451813,0,
8,0.41229064762592316,0,
9,0.7472379207611084,1,
10,,,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
10,,,[0. 0. 0. 0. 2. 0. 0. 0. 0. 0.]
9,-0.8390931189060211,3,
10,,,[0. 0. 0. 0. 0. 0. 0. 7. 0. 0.]
10,,,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
8,0.7396366596221924,1,
9,-0.8398400843143463,3,
10,,,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
10,,,[0. 0. 2. 0. 0. 0. 0. 0. 0. 0.]
9,,,[0. 0. 0. 0. 4. 0. 0. 0. 0. 0.]
7,-0.4899560660123825,2,
8,,,[ 0.  0.  0.  0.  0.  0.  0. 23.  0.  0.]
8,-0.9396311044692993,3,
9,,,[0. 0. 0. 0. 0. 0. 0. 2. 0. 0.]
9,,,[0. 0. 3. 0. 0. 0. 0. 0. 0. 0.]
2,0.13300977647304535,2,
3,0.7116302847862244,3,
4,0.6350831389427185,1,
5,0.2573971003293991,1,
6,-0.9014683067798615,2,
7,-0.9710640907287598,2,
8,0.6214433014392853,0,
9,0.14760766923427582,1,
10,0.5992379188537598,0,
11,,,[60. 17. 66.  0. 16. 31. 82. 29. 30. 53.]
11,,,[  0.   0.   3.   0.   1.   0. 177.   6.   3.   0.]
10,0.4614937901496887,0,
11,,,[ 0.  1.  8. 65.  9.  0.  0.  0. 11.  0.]
11,,,[50. 44. 40.  0. 17. 18. 49. 28. 66. 25.]
9,-0.06879987753927708,3,
10,0.1197350062429905,1,
11,,,[ 4.  2. 13.  0. 11.  0. 59.  3.  0.  0.]
11,,,[23. 17. 48.  0. 24. 21.  0. 42. 20. 70.]
10,0.22191329300403595,3,
11,,,[102. 107. 134.   0.  65. 163.   0.  82. 113. 595.]
11,,,[18.  1.  4.  0.  6.  2.  0.  9.  0.  0.]
8,-0.9158303439617157,2,
9,0.6335408687591553,0,
10,-0.9469526708126068,2,
11,,,[36. 20.  7.  0.  8. 49.  0. 18. 22. 75.]
11,,,[28. 72. 23.  0.  3. 81.  0. 11.  0.  0.]
10,0.7362556457519531,0,
11,,,[  0.  42.  15.   0.  12.  14.   0.  13.   0. 216.]
11,,,[ 45.  98.  34.   0.  53. 131.   0.  35.  55. 173.]
9,0.6731138527393341,0,
10,0.6219019293785095,0,
11,,,[ 0. 24.  5.  0.  8. 28.  0.  5.  0. 61.]
11,,,[  0.   5.   0.   0.   0.   9. 144.  15.   0.   0.]
10,-0.9087839722633362,2,
11,,,[ 0.  7.  4.  0.  2. 19.  0.  4.  0. 25.]
11,,,[ 0. 16.  3.  0.  6. 43.  0.  6.  0. 37.]
7,0.5086520910263062,3,
8,0.24319881200790405,1,
9,0.5674198269844055,0,
10,0.48832210898399353,0,
