depth,threshold,feature,value
11,,,[13.  0.  0.  0.  1.  0.  0.  0.  0.  0.]
11,,,[22.  2.  1.  0.  6.  5.  0.  0.  0.  0.]
10,,,[0. 0. 4. 0. 0. 0. 0. 0. 0. 0.]
9,0.4019363075494766,1,
10,0.4982276111841202,0,
11,,,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
11,,,[ 0.  0.  0. 77.  0.  0.  0.  0.  0.  0.]
10,,,[ 0.  0.  0. 82.  0.  0.  0.  0.  0.  0.]
7,0.18590731918811798,1,
8,0.08494406566023827,1,
9,0.0798913985490799,1,
10,,,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
10,,,[ 0.  0.  0.  0.  0.  0.  0.  0.  0. 38.]
9,-0.20509690046310425,3,
10,0.145377479493618,1,
11,,,[9. 0. 1. 0. 0. 0. 0. 5. 0. 0.]
11,,,[ 0.  0.  6.  0.  0.  0.  0.  2.  0. 28.]
10,-0.9820892214775085,2,
11,,,[13.  1. 20.  0.  5.  9.  0.  8.  0.  0.]
11,,,[ 0.  3. 15.  0.  8.  2.  0.  5. 17.  0.]
8,0.2633586674928665,1,
9,-0.9787038266658783,2,
10,0.835332840681076,0,
11,,,[  3.   0.  10.  47.   3.   5. 341.   2.   0.  27.]
11,,,[ 0.  0.  0.  0.  1.  0.  0.  3.  0. 22.]
10,0.2190854251384735,1,
11,,,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
11,,,[12.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
9,0.7981073260307312,0,
10,0.35094840824604034,1,
11,,,[ 0.  4. 20. 57. 18.  6.  0. 11. 25.  0.]
11,,,[26. 13. 21.  0. 19.  4.  0. 15.  0. 25.]
10,-0.9820892214775085,2,
11,,,[ 0.  1. 11.  0.  3.  0. 60.  2.  0.  0.]
11,,,[0. 0. 5. 0. 0. 0. 0. 0. 0. 0.]
6,0.5292989313602448,0,
7,-0.7265805900096893,2,
8,-0.8038981854915619,2,
9,-0.8238925039768219,2,
10,0.4059922695159912,0,
11,,,[ 0.  8. 64.  0. 36.  6. 76. 39.  0.  0.]
11,,,[ 93.  28. 245.  93.  91.  15.   0. 120.  25.  64.]
10,-0.5807787477970123,3,
11,,,[ 0.  8.  4. 37.  1.  0.  0.  6.  0.  0.]
11,,,[ 0.  2.  6. 35.  4.  0.  0.  2.  0.  0.]
9,0.3887880742549896,0,
10,-0.622023731470108,3,
11,,,[ 0.  2. 19.  0.  4.  0.  0.  2.  0.  0.]
