depth,threshold,feature,is_leaf,value
7,0.3528430610895157,1,False,[104.  94.  85.   0. 609.  14. 379. 386. 381.  81.]
8,-0.2925895005464554,2,False,[104.  74.  74.   0. 578.  14. 254. 354. 338.  81.]
9,0.1308363676071167,1,False,[ 45.  34.  37.   0. 196.   0. 199.  80. 111.  54.]
10,-0.9398212432861328,3,False,[ 10.   1.   3.   0.  37.   0. 139.  18.  26.   0.]
11,-2.0,-2,True,[ 0.  0.  2.  0. 10.  0. 80.  9.  0.  0.]
11,-2.0,-2,True,[10.  1.  1.  0. 27.  0. 59.  9. 26.  0.]
10,-0.951021283864975,3,False,[ 35.  33.  34.   0. 159.   0.  60.  62.  85.  54.]
11,-2.0,-2,True,[ 0.  7.  0.  0. 23.  0. 60.  7. 12.  0.]
11,-2.0,-2,True,[ 35.  26.  34.   0. 136.   0.   0.  55.  73.  54.]
9,0.5611035823822021,0,False,[ 59.  40.  37.   0. 382.  14.  55. 274. 227.  27.]
10,0.56101194024086,0,False,[ 0.  0.  0.  0.  2.  0. 55.  1.  0.  0.]
11,-2.0,-2,True,[0. 0. 0. 0. 2. 0. 0. 1. 0. 0.]
11,-2.0,-2,True,[ 0.  0.  0.  0.  0.  0. 55.  0.  0.  0.]
10,-0.9306894540786743,3,False,[ 59.  40.  37.   0. 380.  14.   0. 273. 227.  27.]
11,-2.0,-2,True,[ 36.  36.  31.   0. 342.   1.   0. 174. 196.  27.]
11,-2.0,-2,True,[23.  4.  6.  0. 38. 13.  0. 99. 31.  0.]
8,-0.05591491982340813,2,False,[  0.  20.  11.   0.  31.   0. 125.  32.  43.   0.]
9,-0.982780933380127,3,False,[ 0. 11. 11.  0. 24.  0.  0. 17. 35.  0.]
10,-0.9941810965538025,3,False,[ 0. 11.  8.  0.  0.  0.  0. 11.  0.  0.]
11,-2.0,-2,True,[0. 0. 0. 0. 0. 0. 0. 9. 0. 0.]
11,-2.0,-2,True,[ 0. 11.  8.  0.  0.  0.  0.  2.  0.  0.]
10,-0.9657041728496552,3,False,[ 0.  0.  3.  0. 24.  0.  0.  6. 35.  0.]
11,-2.0,-2,True,[ 0.  0.  3.  0. 11.  0.  0.  5. 35.  0.]
11,-2.0,-2,True,[ 0.  0.  0.  0. 13.  0.  0.  1.  0.  0.]
9,0.16704543679952621,2,False,[  0.   9.   0.   0.   7.   0. 125.  15.   8.   0.]
10,-0.9986575841903687,3,False,[  0.   6.   0.   0.   2.   0. 125.   7.   0.   0.]
11,-2.0,-2,True,[ 0.  0.  0.  0.  0.  0. 62.  0.  0.  0.]
11,-2.0,-2,True,[ 0.  6.  0.  0.  2.  0. 63.  7.  0.  0.]
10,0.7806318998336792,0,False,[0. 3. 0. 0. 5. 0. 0. 8. 8. 0.]
11,-2.0,-2,True,[0. 3. 0. 0. 5. 0. 0. 6. 0. 0.]
11,-2.0,-2,True,[0. 0. 0. 0. 0. 0. 0. 2. 8. 0.]
6,-0.9123663306236267,3,False,[ 13.  26.  15. 131. 131.   0.   0.  72.  92.   0.]
7,0.6120841801166534,1,False,[ 13.  21.  15.  41. 112.   0.   0.  64.  65.   0.]
8,-0.35768499970436096,2,False,[ 13.  21.  15.  22. 111.   0.   0.  64.  65.   0.]
9,0.48608142137527466,1,False,[ 0.  3.  2.  0. 16.  0.  0.  4. 27.  0.]
10,0.6735681593418121,0,False,[0. 3. 2. 0. 3. 0. 0. 2. 0. 0.]
11,-2.0,-2,True,[0. 3. 0. 0. 3. 0. 0. 0. 0. 0.]
11,-2.0,-2,True,[0. 0. 2. 0. 0. 0. 0. 2. 0. 0.]
10,0.49502305686473846,1,False,[ 0.  0.  0.  0. 13.  0.  0.  2. 27.  0.]
11,-2.0,-2,True,[ 0.  0.  0.  0.  0.  0.  0.  0. 12.  0.]
11,-2.0,-2,True,[ 0.  0.  0.  0. 13.  0.  0.  2. 15.  0.]
9,-0.25950218737125397,2,False,[13. 18. 13. 22. 95.  0.  0. 60. 38.  0.]
10,0.4097569137811661,0,False,[ 0.  2.  0.  0. 32.  0.  0. 12.  0.  0.]
11,-2.0,-2,True,[0. 0. 0. 0. 4. 0. 0. 5. 0. 0.]
11,-2.0,-2,True,[ 0.  2.  0.  0. 28.  0.  0.  7.  0.  0.]
10,0.41594353318214417,1,False,[13. 16. 13. 22. 63.  0.  0. 48. 38.  0.]
11,-2.0,-2,True,[ 0.  0.  0. 22.  6.  0.  0.  5.  0.  0.]
