depth,threshold,feature,value,branches
7,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",
6,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 689, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
2,0.0,3,,"[124, 153]"
3,0.7486387193202972,1,,"[125, 140]"
4,0.8175452053546906,0,,"[126, 133]"
5,0.5638910830020905,1,,"[127, 130]"
6,0.47439493238925934,1,,"[128, 129]"
7,,,"[1990, 774, 0, 768, 699, 497, 200, 1920, 2364, 963, 365, 2036, 225, 1464, 2574, 1208, 374, 1598, 1334, 776]",
7,,,"[0, 1324, 0, 134, 0, 61, 315, 95, 374, 59, 99, 170, 60, 0, 386, 0, 242, 122, 196, 93]",
6,0.6040060818195343,1,,"[131, 132]"
7,,,"[667, 0, 0, 0, 0, 6, 0, 32, 91, 156, 0, 46, 2, 0, 0, 0, 0, 37, 23, 0]",
7,,,"[133, 0, 0, 117, 0, 47, 507, 39, 368, 967, 73, 88, 47, 0, 0, 0, 124, 44, 23, 0]",
5,-0.7610971927642822,3,,"[134, 137]"
6,0.15166456997394562,1,,"[135, 136]"
7,,,"[0, 0, 0, 0, 0, 4, 0, 27, 0, 0, 0, 51, 0, 0, 69, 1787, 0, 49, 42, 0]",
7,,,"[0, 0, 0, 0, 226, 9, 0, 24, 0, 0, 0, 109, 11, 0, 0, 172, 0, 88, 33, 0]",
6,0.16080200672149658,1,,"[138, 139]"
7,,,"[0, 0, 0, 27, 2233, 13, 0, 131, 181, 0, 0, 61, 46, 573, 56, 550, 0, 65, 59, 14]",
7,,,"[174, 0, 0, 12, 0, 17, 112, 108, 368, 0, 0, 65, 48, 1496, 65, 0, 0, 97, 100, 115]",
4,-0.7497986555099487,2,,"[141, 148]"
5,-0.6419596076011658,3,,"[142, 145]"
6,0.9314627051353455,1,,"[143, 144]"
7,,,"[0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
7,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
6,0.35721631348133087,0,,"[146, 147]"
7,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]",
7,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 718, 5, 0, 0, 0, 0, 0, 0, 0, 0]",
5,-0.6806725561618805,3,,"[149, 152]"
6,0.8797326982021332,1,,"[150, 151]"
7,,,"[0, 0, 0, 0, 0, 0, 285, 0, 138, 27, 283, 1, 0, 0, 0, 0, 0, 0, 0, 0]",
7,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 623, 0, 0, 0, 0, 0, 0, 2, 0, 0]",
6,,,"[0, 0, 284, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
3,0.13300977647304535,2,,"[154, 169]"
4,0.8187837898731232,0,,"[155, 162]"
5,-0.793542206287384,2,,"[156, 159]"
6,0.7652628123760223,1,,"[157, 158]"
7,,,"[823, 0, 0, 1098, 177, 2758, 1425, 1107, 533, 1867, 0, 656, 2258, 261, 917, 123, 2887, 618, 220, 1742]",
7,,,"[0, 0, 343, 0, 0, 0, 0, 0, 0, 0, 524, 2, 0, 0, 0, 0, 0, 0, 8, 0]",
6,0.48617789149284363,1,,"[160, 161]"
7,,,"[330, 676, 0, 2179, 353, 874, 1707, 1064, 301, 431, 0, 1372, 1432, 273, 776, 424, 932, 1283, 852, 1397]",
7,,,"[303, 1835, 0, 143, 0, 171, 94, 114, 0, 502, 0, 135, 136, 0, 0, 0, 83, 196, 83, 24]",
5,0.8274686932563782,0,,"[163, 166]"
6,0.19564922899007797,1,,"[164, 165]"
7,,,"[0, 0, 0, 10, 369, 15, 0, 20, 0, 0, 0, 32, 25, 0, 0, 0, 0, 32, 41, 64]",
7,,,"[0, 0, 0, 9, 0, 9, 0, 5, 0, 0, 0, 4, 6, 618, 0, 0, 0, 1, 6, 21]",
6,0.949089527130127,0,,"[167, 168]"
7,,,"[157, 0, 0, 278, 987, 138, 0, 174, 53, 0, 0, 144, 388, 275, 66, 674, 0, 124, 121, 478]",
7,,,"[0, 0, 0, 73, 0, 58, 0, 54, 0, 0, 0, 30, 97, 0, 65, 0, 353, 38, 68, 70]",
4,0.3171795457601547,2,,"[170, 177]"
5,0.3008086681365967,2,,"[171, 174]"
6,0.5441197454929352,0,,"[172, 173]"
7,,,"[152, 0, 0, 25, 0, 52, 0, 27, 35, 0, 0, 8, 81, 0, 0, 0, 0, 60, 163, 0]",
7,,,"[0, 0, 0, 15, 0, 67, 0, 60, 0, 0, 0, 13, 57, 0, 0, 0, 0, 170, 443, 109]",
6,0.21867172420024872,1,,"[175, 176]"
7,,,"[0, 0, 0, 0, 0, 7, 0, 3, 0, 0, 0, 0, 5, 0, 0, 0, 0, 32, 37, 0]",
7,,,"[190, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0]",
5,0.7666304409503937,2,,"[178, 181]"
6,0.340616837143898,1,,"[179, 180]"
7,,,"[0, 0, 0, 0, 0, 53, 0, 44, 63, 0, 0, 4, 61, 0, 60, 0, 0, 237, 820, 21]",
7,,,"[0, 0, 0, 0, 0, 55, 168, 4, 0, 0, 0, 1, 10, 0, 0, 0, 0, 38, 123, 0]",
6,0.7775683403015137,2,,"[182, 183]"
7,,,"[149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26, 0]",
7,,,"[0, 0, 0, 12, 0, 13, 0, 1, 45, 0, 0, 2, 5, 0, 0, 0, 0, 69, 176, 0]",
1,0.13691896200180054,0,,"[185, 222]"
2,0.06312761828303337,0,,"[186, 199]"
3,-0.9972977340221405,2,,"[187, 188]"
4,,,"[0, 0, 355, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
4,0.6582553088665009,1,,"[189, 192]"
5,-0.9689670503139496,2,,"[190, 191]"
6,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 147, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
6,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0]",
5,-0.46353310346603394,3,,"[193, 196]"
6,-0.8736776411533356,2,,"[194, 195]"
7,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
7,,,"[0, 0, 1479, 0, 0, 0, 169, 0, 0, 0, 184, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
6,0.05252900719642639,0,,"[197, 198]"
7,,,"[0, 0, 322, 0, 0, 0, 0, 0, 0, 0, 178, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
7,,,"[0, 0, 1267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
3,-0.9935993552207947,2,,"[200, 211]"
4,0.6073921024799347,1,,"[201, 206]"
5,0.017212719190865755,3,,"[202, 205]"
6,0.5459867864847183,1,,"[203, 204]"
7,,,"[0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]",
7,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
6,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 220, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
5,0.06922071427106857,0,,"[207, 208]"
6,,,"[0, 0, 308, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
6,0.08538692817091942,0,,"[209, 210]"
7,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
7,,,"[0, 0, 599, 0, 0, 0, 0, 1, 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
4,0.5469564348459244,1,,"[212, 217]"
5,0.06818803399801254,0,,"[213, 214]"
6,,,"[0, 329, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
6,0.4746929705142975,1,,"[215, 216]"
7,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 0, 0, 0, 0, 3, 0, 0]",
7,,,"[0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0]",
5,0.06698064878582954,0,,"[218, 221]"
6,0.0654895231127739,0,,"[219, 220]"
7,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
7,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]",
6,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 902, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
2,0.7793710827827454,1,,"[223, 254]"
3,0.16027900576591492,1,,"[224, 239]"
4,0.8175708055496216,0,,"[225, 232]"
5,-0.7266007959842682,3,,"[226, 229]"
6,-0.9893050193786621,3,,"[227, 228]"
7,,,"[518, 0, 0, 11, 0, 2, 0, 12, 0, 0, 61, 82, 0, 0, 0, 0, 0, 36, 129, 0]",
7,,,"[137, 0, 0, 68, 712, 38, 0, 89, 0, 0, 0, 379, 7, 0, 266, 1077, 0, 266, 285, 83]",
6,0.8102767169475555,0,,"[230, 231]"
7,,,"[425, 751, 0, 731, 338, 581, 93, 1111, 1000, 0, 0, 844, 1040, 1149, 927, 658, 458, 1186, 1156, 1306]",
7,,,"[0, 0, 0, 95, 0, 27, 91, 28, 57, 0, 0, 73, 61, 0, 46, 0, 467, 76, 54, 149]",
5,-0.7382990121841431,2,,"[233, 236]"
6,0.9045854806900024,0,,"[234, 235]"
