depth,threshold,feature,value
11,,,[ 0.  1.  0.  0.  0.  0.  0.  0. 24.  0.]
7,0.47997047007083893,0,
8,0.2506520748138428,0,
9,0.18860603123903275,0,
10,,,[25.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
10,,,[12.  1.  0.  0.  0.  0.  0.  0.  0.  0.]
9,0.4599224030971527,0,
10,-0.21348927915096283,3,
11,,,[7. 3. 1. 0. 0. 0. 0. 0. 0. 0.]
11,,,[ 0.  4. 36.  0.  3.  3.  0.  3.  0.  0.]
10,0.4981106221675873,1,
11,,,[29.  4.  0.  0.  8.  3.  0.  0.  0.  0.]
11,,,[0. 0. 0. 0. 3. 0. 0. 0. 0. 0.]
8,-0.9750284254550934,2,
9,0.4586084634065628,1,
10,-0.9865117371082306,2,
11,,,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
11,,,[ 0.  0.  0. 63.  2.  0.  0.  0.  0.  0.]
10,-0.18821973353624344,3,
11,,,[0. 0. 0. 0. 0. 0. 0. 4. 0. 0.]
11,,,[0. 0. 4. 0. 0. 0. 0. 5. 0. 0.]
9,0.4966253340244293,0,
10,0.4940033107995987,0,
11,,,[0. 0. 0. 0. 1. 0. 0. 1. 0. 0.]
11,,,[0. 0. 5. 0. 0. 0. 0. 0. 0. 0.]
10,,,[9. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
6,0.16199062019586563,1,
7,0.4451689273118973,0,
8,0.11612475663423538,1,
9,0.41576385498046875,0,
10,-0.09448072873055935,3,
11,,,[0. 0. 0. 0. 0. 2. 0. 0. 0. 0.]
11,,,[0. 0. 2. 0. 0. 0. 0. 0. 0. 0.]
10,,,[0. 0. 0. 0. 0. 0. 0. 4. 0. 0.]
9,,,[0. 0. 0. 0. 0. 0. 0. 0. 5. 0.]
8,0.06674297712743282,1,
9,,,[ 0.  0.  0.  0.  0.  0.  0.  0.  0. 22.]
9,0.49394945800304413,0,
10,-0.06879987753927708,3,
11,,,[0. 0. 1. 0. 1. 0. 0. 7. 0. 0.]
11,,,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
10,-0.09452274069190025,3,
11,,,[ 0.  0.  0.  0.  0.  0.  0.  0.  0. 37.]
11,,,[0. 2. 0. 0. 0. 0. 0. 0. 0. 0.]
7,-0.06879987753927708,3,
8,0.4581020623445511,1,
9,0.3108566403388977,1,
10,0.2569012865424156,1,
11,,,[0. 6. 0. 0. 0. 0. 0. 0. 0. 0.]
11,,,[0. 3. 0. 0. 1. 0. 0. 5. 0. 0.]
10,,,[0. 0. 8. 0. 0. 0. 0. 0. 0. 0.]
9,-0.10309787839651108,3,
10,0.3708347678184509,0,
11,,,[0. 0. 0. 0. 2. 1. 0. 0. 0. 0.]
11,,,[0. 7. 0. 0. 0. 0. 0. 0. 0. 0.]
10,0.3456997126340866,0,
11,,,[ 0.  0.  0.  0. 10.  0.  0.  0.  0.  0.]
11,,,[0. 8. 0. 0. 6. 4. 0. 2. 0. 0.]
8,0.45675013959407806,0,
9,-0.051617756485939026,3,
10,0.35830341279506683,0,
11,,,[ 0.  0.  2.  0.  2.  3.  0.  0. 17.  0.]
11,,,[0. 0. 0. 0. 3. 0. 0. 1. 0. 0.]
10,0.5389404892921448,1,
11,,,[0. 9. 0. 0. 0. 0. 0. 0. 0. 0.]
11,,,[0. 0. 4. 0. 0. 0. 0. 2. 0. 0.]
9,0.32940874993801117,1,
10,,,[ 0.  0.  0. 20.  0.  0.  0.  0.  0.  0.]
10,0.4989762306213379,0,
11,,,[0. 0. 0. 0. 2. 0. 0. 1. 0. 0.]
11,,,[0. 0. 0. 0. 0. 0. 0. 0. 7. 0.]
5,0.6678126156330109,0,
6,0.48256199061870575,1,
7,0.262222021818161,1,
8,0.10541094467043877,1,
9,0.6118742823600769,0,
10,0.6106596291065216,0,
11,,,[10.  0. 15.  0.  8.  0.  0. 15.  0.  0.]
11,,,[40.  0.  2.  0.  0.  0.  0.  2.  0.  0.]
10,-0.5874369442462921,3,
11,,,[0. 0. 0. 0. 3. 0. 0. 0. 0. 0.]
11,,,[ 0.  0.  1.  0.  4.  0.  0. 20.  0.  0.]
9,0.19530115276575089,1,
10,0.14729340374469757,1,
11,,,[ 18.   9.  50.   0.  46.   6. 311.   7.   8.   0.]
11,,,[ 41.  15. 136.   0.  33.  11.  67.  37.  30.   9.]
10,0.22544103115797043,1,
11,,,[  0.   2.  15.   0.  10.   0. 322.  14.   0.   0.]
11,,,[  5.   8.  67.  55.  28.   2. 298.  38.  20.  24.]
8,-0.4937572479248047,3,
9,-0.8609291315078735,2,
10,0.38730378448963165,1,
11,,,[0. 0. 2. 0. 4. 0. 0. 0. 7. 0.]
11,,,[ 0.  0.  5.  0.  3.  0. 84.  0.  0.  0.]
10,0.667754203081131,0,
11,,,[76. 20. 73.  0. 58.  6.  0. 44. 34.  0.]
11,,,[ 0.  0.  0.  0.  0.  0. 46.  0.  0.  0.]
9,0.31834952533245087,1,
10,-0.9820892214775085,2,
11,,,[ 0. 10. 13.  0.  4. 16.  0.  3.  5.  0.]
11,,,[ 0.  6. 27.  0.  7.  6.  0. 23.  5. 48.]
10,0.3296073377132416,1,
11,,,[ 29.   1.  45. 166.  16.   7.  57.  11.  18.   0.]
11,,,[ 66.  50. 329. 189. 108.  30.   0. 126.  66.  63.]
7,-0.9986298084259033,2,
8,0.5915203392505646,0,
9,,,[0. 0. 0. 0. 0. 5. 0. 0. 0. 0.]
9,0.48942244052886963,1,
10,,,[ 0.  0.  0.  0.  0.  0. 71.  0.  0.  0.]
10,0.650915116071701,0,
11,,,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
11,,,[ 0.  0.  0.  0.  0.  0. 71.  0.  0.  0.]
8,-0.952342301607132,2,
9,0.5904796421527863,1,
10,-0.9710640907287598,2,
11,,,[28.  9. 18.  0. 10.  2.  0.  6.  0. 46.]
11,,,[ 0.  2. 27.  0.  9.  6.  0. 11.  0.  0.]
10,0.5127776265144348,0,
11,,,[  0.   0.   6.   0.   0.   0. 119.   2.   0.  38.]
11,,,[11.  0.  5.  0.  0.  0.  0.  0.  0. 19.]
9,0.5825672745704651,1,
10,-0.40147311985492706,3,
11,,,[ 12.  12.  24.   0.  17.   0. 197.   9.   0.  14.]
11,,,[ 5.  1.  9.  0.  2.  4.  0. 12. 13.  0.]
10,0.5245152115821838,0,
11,,,[  0.   3.   5.   0.   0.   0. 193.   7.   0.   0.]
11,,,[4. 0. 9. 0. 4. 0. 0. 0. 0. 0.]
6,-0.957449734210968,2,
7,0.4095398783683777,1,
8,0.7846108376979828,0,
9,0.6721042692661285,0,
10,-0.25534383952617645,3,
11,,,[27.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
11,,,[0. 7. 4. 0. 3. 0. 0. 7. 0. 0.]
10,-0.9946339726448059,2,
